,Parameter,Value,Gini
0,bride_price_ratio,0.6,0.46729323478800455
1,bride_price_ratio,0.1,0.4110236188142263
2,bride_price_ratio,0.6,0.4663280528820097
3,bride_price_ratio,0.6,0.4700216026132841
4,bride_price_ratio,0.6,0.4659033798535398
5,bride_price_ratio,0.1,0.41591843241374726
6,bride_price_ratio,0.1,0.40969564581805046
7,bride_price_ratio,0.6,0.4758133453826635
8,bride_price_ratio,0.1,0.41406513449206495
9,bride_price_ratio,0.6,0.46706985517465527
10,bride_price_ratio,0.6,0.4626771559777391
11,bride_price_ratio,0.1,0.4132716182800829
12,bride_price_ratio,0.6,0.46928074433447114
13,bride_price_ratio,0.1,0.4098560697323339
14,bride_price_ratio,0.1,0.4236637679824032
15,bride_price_ratio,0.1,0.4141743983871277
16,bride_price_ratio,0.6,0.4633303742267779
17,bride_price_ratio,0.1,0.4061271739340732
18,emigrate_enabled,True,0.4758133453826635
19,emigrate_enabled,True,0.4633303742267779
20,emigrate_enabled,True,0.4659033798535398
21,emigrate_enabled,True,0.46706985517465527
22,emigrate_enabled,False,0.4771002126416828
23,emigrate_enabled,True,0.46928074433447114
24,emigrate_enabled,False,0.47544538975253986
25,emigrate_enabled,False,0.4799796727662743
26,emigrate_enabled,False,0.4759680389496827
27,emigrate_enabled,False,0.4791056213296841
28,emigrate_enabled,False,0.48221735771095037
29,emigrate_enabled,True,0.4626771559777391
30,emigrate_enabled,True,0.4700216026132841
31,emigrate_enabled,False,0.47480174729811614
32,emigrate_enabled,True,0.4663280528820097
33,emigrate_enabled,True,0.46729323478800455
34,emigrate_enabled,False,0.4829156520721414
35,emigrate_enabled,False,0.4741891330497037
36,fallow_farming,True,0.4626771559777391
37,fallow_farming,True,0.46729323478800455
38,fallow_farming,False,0.4695832436669288
39,fallow_farming,True,0.46706985517465527
40,fallow_farming,False,0.46043159781534027
41,fallow_farming,True,0.4663280528820097
42,fallow_farming,True,0.4633303742267779
43,fallow_farming,True,0.4700216026132841
44,fallow_farming,True,0.46928074433447114
45,fallow_farming,False,0.4687037170230045
46,fallow_farming,True,0.4659033798535398
47,fallow_farming,False,0.4643589003764775
48,fallow_farming,True,0.4758133453826635
49,fallow_farming,False,0.46767094538364024
50,fallow_farming,False,0.4717315963079961
51,fallow_farming,False,0.4650395906857349
52,fallow_farming,False,0.46212719901405985
53,fallow_farming,False,0.46326549117167
54,fallow_period,2,0.46342610347754987
55,fallow_period,2,0.4546916500708416
56,fallow_period,2,0.45944876290411435
57,fallow_period,20,0.46928074433447114
58,fallow_period,20,0.4659033798535398
59,fallow_period,2,0.4615343027859621
60,fallow_period,20,0.46729323478800455
61,fallow_period,2,0.4654063984334541
62,fallow_period,20,0.4633303742267779
63,fallow_period,20,0.46706985517465527
64,fallow_period,2,0.46378213053886547
65,fallow_period,20,0.4663280528820097
66,fallow_period,2,0.4713823980178226
67,fallow_period,2,0.4706332009951849
68,fallow_period,20,0.4700216026132841
69,fallow_period,2,0.47022621946198206
70,fallow_period,20,0.4626771559777391
71,fallow_period,20,0.4758133453826635
72,food_expiration_steps,5,0.4663280528820097
73,food_expiration_steps,50,0.4638918203382813
74,food_expiration_steps,5,0.4601760118404835
75,food_expiration_steps,50,0.4690496889075484
76,food_expiration_steps,5,0.4700216026132841
77,food_expiration_steps,5,0.46642015649438334
78,food_expiration_steps,5,0.4736009129371353
79,food_expiration_steps,5,0.46928074433447114
80,food_expiration_steps,50,0.46947204956247507
81,food_expiration_steps,5,0.4659033798535398
82,food_expiration_steps,50,0.46907412182653435
83,food_expiration_steps,5,0.4758133453826635
84,food_expiration_steps,5,0.46729323478800455
85,food_expiration_steps,5,0.47071892330188236
86,food_expiration_steps,50,0.4663635560372635
87,food_expiration_steps,5,0.46618058805799756
88,food_expiration_steps,50,0.4672921740037202
89,food_expiration_steps,5,0.47587308549613405
90,food_expiration_steps,50,0.46949075986993744
91,food_expiration_steps,5,0.4633303742267779
92,food_expiration_steps,5,0.46737651250532425
93,food_expiration_steps,5,0.4626771559777391
94,food_expiration_steps,50,0.473593416573489
95,food_expiration_steps,5,0.46787882072227055
96,food_expiration_steps,5,0.4692271898656045
97,food_expiration_steps,50,0.46634538351067234
98,food_expiration_steps,5,0.46706985517465527
99,land_depreciate_factor,0.1,0.46706985517465527
100,land_depreciate_factor,0.01,0.43584917784437277
101,land_depreciate_factor,0.5,0.47731549641786086
102,land_depreciate_factor,0.5,0.46582247467078175
103,land_depreciate_factor,0.1,0.4659033798535398
104,land_depreciate_factor,0.1,0.4663280528820097
105,land_depreciate_factor,0.5,0.47395439101024495
106,land_depreciate_factor,0.5,0.46861962656946166
107,land_depreciate_factor,0.01,0.4348002912200896
108,land_depreciate_factor,0.1,0.4758133453826635
109,land_depreciate_factor,0.01,0.4400086251175334
110,land_depreciate_factor,0.1,0.4626771559777391
111,land_depreciate_factor,0.01,0.44283876981496395
112,land_depreciate_factor,0.5,0.48055569254384256
113,land_depreciate_factor,0.1,0.46928074433447114
114,land_depreciate_factor,0.5,0.46895843110512514
115,land_depreciate_factor,0.5,0.4659577222045374
116,land_depreciate_factor,0.01,0.42698805967542924
117,land_depreciate_factor,0.01,0.43572036365331396
118,land_depreciate_factor,0.1,0.46729323478800455
119,land_depreciate_factor,0.01,0.43302933084397993
120,land_depreciate_factor,0.5,0.4720508470188305
121,land_depreciate_factor,0.1,0.4633303742267779
122,land_depreciate_factor,0.01,0.4384411837201944
123,land_depreciate_factor,0.5,0.467771281902493
124,land_depreciate_factor,0.1,0.4700216026132841
125,land_depreciate_factor,0.01,0.44261756263604324
126,land_max_capacity,50,0.4659033798535398
127,land_max_capacity,10,0.27942485063543043
128,land_max_capacity,10,0.2376002802286425
129,land_max_capacity,100,0.4268437529253714
130,land_max_capacity,100,0.4212696150603318
131,land_max_capacity,100,0.42506063891644175
132,land_max_capacity,50,0.46706985517465527
133,land_max_capacity,50,0.4633303742267779
134,land_max_capacity,10,0.30228461522584577
135,land_max_capacity,50,0.46928074433447114
136,land_max_capacity,100,0.4367808700327366
137,land_max_capacity,10,0.2913854611434082
138,land_max_capacity,10,0.3277255994210991
139,land_max_capacity,50,0.46729323478800455
140,land_max_capacity,100,0.4325789722095948
141,land_max_capacity,50,0.4626771559777391
142,land_max_capacity,100,0.42839746231426573
143,land_max_capacity,100,0.42904389988338426
144,land_max_capacity,10,0.36192564859546633
145,land_max_capacity,50,0.4700216026132841
146,land_max_capacity,10,0.25157067658037763
147,land_max_capacity,100,0.43436928982343337
148,land_max_capacity,50,0.4663280528820097
149,land_max_capacity,10,0.2854858178211282
150,land_max_capacity,10,0.30525676237271504
151,land_max_capacity,50,0.4758133453826635
152,land_max_capacity,100,0.434561752308389
153,land_recovery_rate,0.01,0.22430823948076223
154,land_recovery_rate,0.1,0.4659033798535398
155,land_recovery_rate,0.5,0.45278696655381456
156,land_recovery_rate,0.01,0.20659224117518224
157,land_recovery_rate,0.1,0.4663280528820097
158,land_recovery_rate,0.5,0.43717982037837455
159,land_recovery_rate,0.1,0.4626771559777391
160,land_recovery_rate,0.01,0.2555390830667047
161,land_recovery_rate,0.5,0.44186178041994634
162,land_recovery_rate,0.1,0.46729323478800455
163,land_recovery_rate,0.01,0.29921702455229093
164,land_recovery_rate,0.1,0.4758133453826635
165,land_recovery_rate,0.01,0.25446643389443196
166,land_recovery_rate,0.01,0.30607934151515326
167,land_recovery_rate,0.1,0.4633303742267779
168,land_recovery_rate,0.5,0.44808882501233865
169,land_recovery_rate,0.5,0.4439664791549351
170,land_recovery_rate,0.5,0.4422792918076363
171,land_recovery_rate,0.5,0.43905424798757436
172,land_recovery_rate,0.1,0.46706985517465527
173,land_recovery_rate,0.5,0.440695806215807
174,land_recovery_rate,0.01,0.18648533215629493
175,land_recovery_rate,0.01,0.21620441694454356
176,land_recovery_rate,0.1,0.4700216026132841
177,land_recovery_rate,0.1,0.46928074433447114
178,land_recovery_rate,0.01,0.22146053671804533
179,land_recovery_rate,0.5,0.44519023128493324
180,lux_per_year,15,0.46928074433447114
181,lux_per_year,30,0.482992936531639
182,lux_per_year,1,0.36356748120578236
183,lux_per_year,30,0.4769065070499685
184,lux_per_year,15,0.4663280528820097
185,lux_per_year,1,0.3690680562275681
186,lux_per_year,15,0.4633303742267779
187,lux_per_year,30,0.47413212570660035
188,lux_per_year,1,0.3675147093434797
189,lux_per_year,1,0.3663252304386661
190,lux_per_year,15,0.46706985517465527
191,lux_per_year,1,0.36918226369892826
192,lux_per_year,15,0.4700216026132841
193,lux_per_year,30,0.4772911355204288
194,lux_per_year,15,0.4659033798535398
195,lux_per_year,30,0.4838998376906686
196,lux_per_year,30,0.4775806823089059
197,lux_per_year,30,0.48397441151103726
198,lux_per_year,1,0.3664773377288196
199,lux_per_year,15,0.46729323478800455
200,lux_per_year,30,0.4793336386677661
201,lux_per_year,15,0.4758133453826635
202,lux_per_year,30,0.47098890367291024
203,lux_per_year,15,0.4626771559777391
204,lux_per_year,1,0.3654048548675103
205,lux_per_year,1,0.368819422457139
206,lux_per_year,1,0.3673637733208802
207,max_member,5,0.07765286219756513
208,max_member,25,0.46729323478800455
209,max_member,5,0.0705551655290825
210,max_member,50,0.49850450581742406
211,max_member,25,0.4659033798535398
212,max_member,50,0.5028034791558564
213,max_member,25,0.4758133453826635
214,max_member,25,0.4700216026132841
215,max_member,50,0.5092379334811651
216,max_member,25,0.46706985517465527
217,max_member,50,0.5004750982579047
218,max_member,50,0.5097463745861862
219,max_member,50,0.508262374475323
220,max_member,5,0.10918542646849336
221,max_member,5,0.11518128081435558
222,max_member,50,0.5049995912541072
223,max_member,5,0.046617501581986014
224,max_member,50,0.5014844187843693
225,max_member,25,0.4626771559777391
226,max_member,5,0.07668896344064456
227,max_member,5,0.07895051002185836
228,max_member,25,0.4663280528820097
229,max_member,50,0.5017118412108699
230,max_member,25,0.4633303742267779
231,max_member,5,0.09053852420858889
232,max_member,5,0.07931987642026904
233,max_member,25,0.46928074433447114
234,spare_food_enabled,False,0.4635103878841509
235,spare_food_enabled,False,0.46893308048156557
236,spare_food_enabled,True,0.4633303742267779
237,spare_food_enabled,True,0.46928074433447114
238,spare_food_enabled,True,0.4659033798535398
239,spare_food_enabled,True,0.4626771559777391
240,spare_food_enabled,False,0.46751090804042145
241,spare_food_enabled,True,0.46729323478800455
242,spare_food_enabled,False,0.4686711582269323
243,spare_food_enabled,False,0.4647102420221676
244,spare_food_enabled,False,0.4638182694380546
245,spare_food_enabled,True,0.4758133453826635
246,spare_food_enabled,False,0.4642244739172684
247,spare_food_enabled,False,0.4674679830376899
248,spare_food_enabled,True,0.4700216026132841
249,spare_food_enabled,False,0.4616006587166815
250,spare_food_enabled,True,0.4663280528820097
251,spare_food_enabled,True,0.46706985517465527
252,trading_enabled,True,0.4626771559777391
253,trading_enabled,False,0.2987878017858503
254,trading_enabled,False,0.3009501723110686
255,trading_enabled,True,0.46706985517465527
256,trading_enabled,False,0.30062108438761664
257,trading_enabled,True,0.4633303742267779
258,trading_enabled,True,0.4663280528820097
259,trading_enabled,True,0.4659033798535398
260,trading_enabled,False,0.3048505053571252
261,trading_enabled,False,0.30227442329740767
262,trading_enabled,True,0.46928074433447114
263,trading_enabled,False,0.2993332108761948
264,trading_enabled,False,0.30209826483349284
265,trading_enabled,True,0.4758133453826635
266,trading_enabled,False,0.30365357173961655
267,trading_enabled,True,0.4700216026132841
268,trading_enabled,False,0.3002921038537695
269,trading_enabled,True,0.46729323478800455
